index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
304,0403.088a.002,Bava Batra 88a,בבא בתרא דף פח עמוד א,,,,anon[BB-40]; anon[BB-41]; merchant]; anon[BB-42; customers],B0403_82; B0403_83; B0403_84,Kahana [de Pum Nehara][B3; B4],2004,B3; B4,1,,,1,,,,1
305,0403.096b.001,Bava Batra 96b,בבא בתרא דף צו עמוד ב,,Rab; Samuel,,anon[ovda],B0403_40,Joseph,1764,B2,,,,1,,,,
306,0403.100a.001,Bava Batra 100a,בבא בתרא דף ק עמוד א,,,,[owner/purchaser of vineyard],B0403_41,Ishaq b. Ami,1901,B4,,,,1,,,,
307,0403.106b.001,Bava Batra 106b,בבא בתרא דף קו עמוד ב,,[Quotes Mishnah in following discussion],,Pappa,2518,Abbaye,121,B4,,,,1,,,1,
308,0403.111a.002,Bava Batra 111a,בבא בתרא דף קיא עמוד א,,[Zekhariah b. Haqatsav (baraita)];,Nahman,anon[ovda],B0403_42,Tabla,21052,B3,,,1,1,,,,
309,0403.126a.001,Bava Batra 126a,בבא בתרא דף קכו עמוד א,,,[Pappa and Pappi],Firstborn; brother(s); relations of brothers; purchaser,B0403_43; B0403_44+; B0403_45; B0403_79,Rava,2582,B4,,,1,1,,,,1
310,0403.126b.001,Bava Batra 126b,בבא בתרא דף קכו עמוד ב,,,,Mar Zutra mi-deRishba[?],2166,Ashi,571,B6,,,1,1,,,?,1
311,0403.126b.002,Bava Batra 126b,בבא בתרא דף קכו עמוד ב,,,,anon[BB; attests that one is firstborn]; another who is a firstborn,B0403_46; B0403_47,Rabba b. bar Hana,2594,B3,,,1,1,,,,1
312,0403.126b.003,Bava Batra 126b,בבא בתרא דף קכו עמוד ב,,,,anon[BB; attests that one is firstborn]; another who is a firstborn,B0403_104; B0403_105,Haninah,1213,P1?,,,1,1,,,,1
313,0403.143a.001,Bava Batra 143a,בבא בתרא דף קמג עמוד א,,,,anon[ovda],B0403_50,Samuel,2763,B1,,,,1,,,,
314,0403.143a.002,Bava Batra 143a,בבא בתרא דף קמג עמוד א,,,,anon[ovda],B0403_52,Yohanan,1570,P2,,,,1,,,,
315,0403.144a.001,Bava Batra 144a,בבא בתרא דף קמד עמוד א,,,,Safra; brothers ,2398; _2398,Rava,2582,B4,,,,1,,,1,1
316,0403.151a.001,Bava Batra 151a,בבא בתרא דף קנא עמוד א,,,Huna bryh d-r Yehoshua,Zutra b. Tovya; Mother of; married to Zebid[B3?B5?],1006; _1006; 993,Bibi b. Abbaye,602,B5,,,1,1,,,1,1
317,0403.151a.002,Bava Batra 151a,בבא בתרא דף קנא עמוד א,,Samuel,,Uqba b. Hama; Rami b. Hama,2429; 2681,Sheshet; Nahman,2938; 2285,B3,,,,1,,,1,1
318,0403.151a.004,Bava Batra 151a,בבא בתרא דף קנא עמוד א,,,,Amram Hasida,2488,Nahman,2285,B3,,,,1,,,1,1
319,0403.151a.005,Bava Batra 151a,בבא בתרא דף קנא עמוד א,,Samuel,,Mother of Tobi b. Mattena; Ahadvoi b. Mattena,_1364; 1364;,Nahman,2285,B3,,,,1,,,1,
320,0403.151a.006,Bava Batra 151a,בבא בתרא דף קנא עמוד ב,,,,Dimi b. Yosef; mother,873; _873,Nahman,2285,B3,,,,1,,,1,1
321,0403.153a.001,Bava Batra 153a,בבא בתרא דף קנג עמוד א,,,,One who gave in anticipation of death; [grantees],B0403_55; B0403_80+,Huna,895,B2,,,,1,,,,1
322,0403.153a.002,Bava Batra 153a,בבא בתרא דף קנג עמוד א,,,,anon,Anon[BM-4],Nahman; Yirmiya b. Abba,2285; 1954,B3; B2,,,,1,,,,1
323,0403.153a.003,Bava Batra 153a,בבא בתרא דף קנג עמוד א,,,Pappa b Hanan Scribe[B4?; B5?],Woman who came before,B0403_73,Rava,2582,B4,,,,1,,,,1
324,0403.155b.001_,Bava Batra 155b_,בבא בתרא דף קנה עמוד ב,,,,[Saris],B0403_57,Hiyya,1088,P1,,,1,,,,,
325,0403.155b.002,Bava Batra 155b,בבא בתרא דף קנה עמוד ב,,,,Seller not of age,B0403_13,Rava,2582,B4,,,1,1,,,,
326,0403.155b.003,Bava Batra 155b,בבא בתרא דף קנה עמוד ב,,,,son younger than 20yrs; relations; buyers,B0403_58; B0403_59; B0403_81+,Rava,2582,B4,,,1,1,,,,
327,0403.160b.001; 0403.164b.001?,Bava Batra 160b; Bava Batra 164b?,בבא בתרא דף קס עמוד ב,Rami b. Hama; Hisda,,Simeon b. Rabbi ,Bearer of a bound document presented it,B0403_60,Rabbi,1508,T,,,,?,,1,,?
328,0403.164b.002,Bava Batra 164b,בבא בתרא דף קסד עמוד ב,,,Zonin,Bearer of a bound document presented it,B0403_61,Rabbi,1508,T,,,,?,,1,,
329,0403.167a.001,Bava Batra 167a,בבא בתרא דף קסז עמוד א,,,,Purchaser of  purchase of landed property; [seller; implied],B0403_07;B0403_08,Abbaye,121,B4,,,,?,,1,,
330,0403.167a.002,Bava Batra 167a,בבא בתרא דף קסז עמוד א,,,,purchaser of brothers` property; [seller implied],B0403_05;B0403_06,Abbaye,121,B4,,,,,,,,
331,0403.167a.003,Bava Batra 167a,בבא בתרא דף קסז עמוד א,,,,Rava; Aha b. Ada; bearer of document,2582; 265; B0403_04,Rava,2582,B4,,,,?,,1,1,
332,0403.167b.001,Bava Batra 167b,בבא בתרא דף קסז עמוד א,,,Abbaye,Yirmiyah b Abba; anonymuswomen(2),1954; B0403_67+,Yirmiyah b Abba,1954,B2,,,,?,,1,1,
333,0403.168b.001,Bava Batra 168b,בבא בתרא דף קסח עמוד ב,,Safra,Abbaye`s scribe;  Aha b. Manyomi,Landowners in Pumbedita; [Arabs],B0403_68+; B0403_69+,Abbaye,121,B4,,,,?,,,,
334,0403.169b.001,Bava Batra 169b,בבא בתרא דף קסט עמוד ב,,,,Woman who gave funds; the agent,B0403_70; B0403_71,Nahman,2285,B3,,,,1,,1,,
335,0403.170a.001,Bava Batra 170a,בבא בתרא דף קע עמוד א,,[complex],,Isaac b. Yosef; Abba,1113; 6,Ishaq Napaha,1885,P3,,,,1,,,1,
336,0403.171b.001,Bava Batra 171b,בבא בתרא דף קעא עמוד ב,,[complex],,Isaac b. Yosef; Abba,1113; 6,Hanina b. Pappi,22004,P3,,,,1,,1,1,1
337,0404.027a.001,Sanhedrin 27a,סנהדרין דף כז עמוד א,,Rava,,anon,B0404_11,Pappi,2533,B5,,,,,,1,,
338,0404.029b.001,Sanhedrin 29b,סנהדרין דף כט עמוד ב,,Asi,,anon,B0404_12,Rab,2578,B1,,,,1,,,,
339,0404.029b.002,Sanhedrin 29b,סנהדרין דף כט עמוד ב,,,,``Qab Rashu``,qab_rashu,Nahman,2285,B4,,,,1,,,?,1
340,0404.029b.003,Sanhedrin 29b,סנהדרין דף כט עמוד ב,,,,``Akbera deyatib adinare``,akbara_deyativ_adinare,Ishmael b. Yose ;Hiyya,1986;1088,T;P1,,,,1,,,?,1
341,0404.031a.001,Sanhedrin 31a,סנהדרין דף לא עמוד א,,,,anon; anon,B0404_01;B0404_02,Ami,495,B?,,,,1,,,,
342,0404.031a.002,Sanhedrin 31a,סנהדרין דף לא עמוד א,,,,anon (child),B0404_03,Nahman,2285,B4,,,,1,1,,1,
343,0404.05a.001,Sanhedrin 5a,סנהדרין דף ה עמוד א,,,,Mar Zutra;anon?,2161;B0404_09?,Yosep,1764,B3,,,,,,1,1,?
344,0404.05a.002,Sanhedrin 5a,סנהדרין דף ה עמוד א,,,,Rabbah bar Hanah; anon?,2600;B0404_10?,Hiyya,1088,P1,,,,,,,1,
345,0406.030a.001,Shevu`ot 30a,שבועות דף ל עמוד א,,,,Ulla b. Ila`I;[Yosef],2415;1764,Nahman,2285,B3,,,,,,1,1,
346,0406.030b.001,Shevu`ot 30b,שבועות דף ל עמוד ב,,,,Wife of Huna,_895,Nahman,2285,B3,,,,,,1,1,
347,0406.030b.002,Shevu`ot 30b,שבועות דף ל עמוד ב,,,,Rab b. Shaba*,2579,Pappa,2518,B5,,,,,,1,1,
348,0406.030b.003,Shevu`ot 30b,שבועות דף ל עמוד ב,,,,Yemar;Mar Zutra,1804;10131,Amemar,571,B6,,,,,,1,1,
349,0406.030b.004,Shevu`ot 30b,שבועות דף לא עמוד א,,,,anon; anon,0406_01;0406_02,Raba b. Huna,2596,B3,,,,,,1,?,
350,0406.032b.001;0403.033b.001,Shevu`ot 32b; Bava Batra 33b,שבועות דף לב עמוד ב,,,Abba,anon litigant 1;anon litigant 2;Witness,0406_03;0406_04;0406_05,Ami,495,P4,,,,1,,,,
351,0406.047a.001 [0406.048a],Shevu`ot 47a [Shevu`ot 48a],שבועות דף מז עמוד א,Yosef b. Maniomi,,,anon litigant; anon litigant,0406_06;0406_07,Nahman,2285,B3,,,,1,,,,
352,0406.048b.001,Shevu`ot 48b,שבועות דף מח עמוד ב,,,,tsorba de-rabbanan,sorba_derabbanan,Hamma,1164,B5,,,,,,1,1,1
353,0408.017a.001,Avodah Zarah 17a,עבודה זרה דף יז עמוד א,,,,Woman admitting to sins/minut,0408_01,Hisda,1345,B3,,,1,,,1,,
354,0408.022a.001,Avodah Zarah 22a,עבודה זרה דף כב עמוד א,,,Ravina [etiveh],Jewish and gentile mwryq`y,0408_02; 0408_03,Rava,2582,B4,,,,,,,,
355,0408.022a.002,Avodah Zarah 22a,עבודה זרה דף כב עמוד א,Gabiha mi-be Katil,,Ravina [etiveh],Jewish and gentile planters of orlah,0408_04; 0408_05,,2582,B4,1,,,1,,1,,
356,0408.030a.001,Avodah Zarah 30a,עבודה זרה דף ל עמוד א,,,,Servant (f) of Hiyya,_1088,Hiyya,1088,P1,1,,,,,,1,1
357,0408.039a.001,Avodah Zarah 39a,עבודה זרה דף לט עמוד א,,,,Slave of Levi,_2031,Yohanan,1570,P2,1,,,,,,,1
358,0408.039a.002,Avodah Zarah 39a,עבודה זרה דף לט עמוד א,,,Hanan Hayyta [transition to next story],Huna bar Manyomi; people of the house of [wife of?] Amram Hasida ,923; _2448+,Yosef,1764,B3,1,,,,,,,1
359,0408.039a.003,Avodah Zarah 39a,עבודה זרה דף לט עמוד א,,Samuel,,Hanan Hayyta; peopleof the house of [wife of] Rabena`a brother of Hiyya b. Aba[B3?],1333; 2657,Matena; Judah me-Hagronia`,2225; 1514,B2; [?],1,,,,,,,1
360,0408.056b.001,Avodah Zarah 56b,עבודה זרה דף נו עמוד ב,,,Stam discussion,Consumers of wine? Owner?,0408_07,Samuel,2763,B1,1,,,1,,,,1
361,0408.057a.001,Avodah Zarah 57a,עבודה זרה דף נז עמוד א,,,Asi; Kahana,Owner of wine,0408_08,Rab,2578,B1,1,,,1,,,,
362,0408.057b.001,Avodah Zarah 57b,עבודה זרה דף נז עמוד ב,,,Huna b. Hinena; Huna b. Nahman,Shopkeeper [owner of wine],0408_09,Raba,1582,B4,1,,,,,,,
363,0408.058a.001,Avodah Zarah 58a,עבודה זרה דף נח עמוד א,,,,owner of wine?,0408_10,Samuel,2763,B1,1,,,1,,,,
364,0408.058a.002,Avodah Zarah 58a,עבודה זרה דף נח עמוד א,,,,owner of wine?,0408_11,Yohanan,1570,P2,1,,,1,,,,
365,0408.060a.001,Avodah Zarah 60a,עבודה זרה דף ס עמוד א,,,,owners/consumers of wine?,0408_12,Yaaqob of Nehar Peqod,1878,B6,1,,,,,,,
366,0408.062a.001,Avodah Zarah 62a,עבודה זרה דף סב עמוד ב,,,,Owner of a boat(?),0408_13,Hisda,1345,B4,1,,,1,,,,
367,0408.064a.001,Avodah Zarah 64a,עבודה זרה דף סד עמוד א,Nahman,,,Converts,0408_14+,Abba b Abbuha,2586,B2,1,,1,1,,,,
368,0408.069a.001,Avodah Zarah 69a,עבודה זרה דף סט עמוד א,Hillel --> Ashi,,,House of Kahana,_2004,Kahana,2004,B2,,1,,,,,,
369,0408.070a.001,Avodah Zarah 70a,עבודה זרה דף ע עמוד א,,,,,,Samuel,2763,B1,1,,,1,,,,
370,0408.070b.001,Avodah Zarah 70b,עבודה זרה דף ע עמוד ב,Dimi,,,owners of wine?,0408_15+,Eleazar,467,P3,1,,,1,,1,,
371,0408.070b.002,Avodah Zarah 70b,עבודה זרה דף ע עמוד ב,Ishaq,,,owner tavern and/or customers,0408_16,Eleazar,467,P3,1,,,,,,,
372,0408.072a.001,Avodah Zarah 72a,עבודה זרה דף עב עמוד א,,,houses Hisda; Huna,anon?,0408_17,Huna?,895,B2,,,,1,,,,
373,0408.074b.001,Avodah Zarah 74b,עבודה זרה דף עד עמוד ב,,,Rab,Press owner,0408_18,Hiyya,1088,P1?,1,,,,,,,
374,0503.010b.001,Hullin 10b,חולין דף י עמוד ב,,,,anon[ovda](multiple?),B0503-01+,Yosef,1764,B3,1,,,,,,,
375,0503.018a.001,Hullin 18a,חולין דף יח עמוד א,,,,anon(slaughterer),B0503-02,Rava,2582,B4,1,,,,,,,1
376,0503.039b.001,Hullin 39b,חולין דף לט עמוד ב,,Hanan Hayyta; peopleof the house of [wife of] Rabena`a brother of Hiyya b. Aba,,Arabs;anon(slaughterers),Arabs; B0503-03,Tobi b. Matena; Yosef,1364; 1764,B3,1,,,,,,?,1
377,0503.043b.001,Hullin 43b,חולין דף מג עמוד ב,,,Abbaye,anon(slaughterer? Ownder of animal?),B0503-04,Rabbah,2581,B3,1,,,,,,,1
378,0503.043b.003,Hullin 43b,חולין דף מג עמוד ב,,Rab; Samuel,Abba,Sons of Uqba,_21222,Rava,2582,B4,1,,,,,,1,1
379,0503.044b.001,Hullin 44b,חולין דף מד עמוד ב,,,Kahana; Assi,anon(slaughterer? Ownder of animal?),B0503-05,Rab; Rabbah b b. Hanah,2578; 2594,B1; B3,1,,,,,,,1
380,0503.047a.001,Hullin 47a,חולין דף מז עמוד א,,Rava,Aha,anon(slaughterer or animal owner),B0503-06,Maremar,2198,B5,1,,,,,,,?
381,0503.047a.002,Hullin 47a,חולין דף מז עמוד א,,,Huna Mar b. Awiya,anon(slaughterer or animal owner),B0503-07,Ashi,571,B6,1,,,,,,,?
382,0503.047b.001,Hullin 47b,חולין דף מז עמוד ב,,,Natan and all the greato ones of the generation,anon(slaughterer or animal owner),B0503-08,Hananiah?,Hananiah[T],T,1,,,,,,,1
383,0503.048b.001,Hullin 48b,חולין דף מח עמוד ב,,,Yirmiyah; Zariqa,anon(slaughterer or animal owner),B0503-09,Ami; Ishaq Napaha,495; 1885,P3,1,,,,,,,?
384,0503.048b.002,Hullin 48b,חולין דף מח עמוד ב,,,,anon(slaughterer or animal owner),B0503-10,Rabbanan Terofa`e,Rabbanan terofa`e,?,1,,,,,,,?
385,0503.049b.001,Hullin 49b,חולין דף מט עמוד ב,,Rab,Sheshet,anon(slaughterer or animal owner),B0503-11,Rava,2582,B4,1,,,,,,,?
386,0503.049b.002,Hullin 49b,חולין דף מט עמוד ב,,Simeon,Nahman b. Yishaq,anon,B0503-12,Rava,2582,B4,,,,,,1,?,1
387,0503.051a.001,Hullin 51a,חולין דף נא עמוד א,,,Safra; Abbaye; Awira,anon(ovda),B0503-13,Rabbi,1508,T,1,,,,,,?,1
388,0503.053.001,Hullin 053,חולין דף נג עמוד ב,,,,anon(animal owner),B0503-14,Rab; Samuel,2578; 2763,B1,1,,,,,,,?
389,0503.056a.001,Hullin 56a,חולין דף נו עמוד א,,Levi,,House of Rab Hana,_1185,Matena,2225,B4,1,,,,,,1,?
390,0503.056b.001,Hullin 56b,חולין דף נו עמוד ב,,M,,Joshua b. Levi,1544,Eleazar ha-Qappar,485,L?,1,,,,,,1,1
391,0503.056b.002,Hullin 56b,חולין דף נו עמוד ב,,M; [implicitly; Eleazar ha-qappar?],,Ishaq b.Yosef,1901,Abahu,92,P3,1,,,,,,1,1
392,0503.057a.001,Hullin 57a,חולין דף נז עמוד א,,,,anon[Hul-99],B0503-16,Rava,2582,B4,1,,,,,,,?
393,0503.076b.001,Hullin 76b,חולין דף עו עמוד ב,Ulla; Nahman,,,house of R. Ishaq,_1885+,Yohanan,1570,P2,1,,,,,,1,1
394,0503.077a.001,Hullin 77a,חולין דף עז עמוד א,,,Ada b. Matena; Ravina,anon owner of slaughtered animal,0503_17,Abbaye; Rava,121; 2582,B4,1,,,,,,,?
395,0503.085b.001,Hullin 85b,חולין דף פה עמוד ב,,,,Hiyya,1088,Rabbi,1508,T,,,,,,1,1,1
396,0503.095b.001,Hullin 95b,חולין דף צה עמוד ב,,,,Hiyya b Abin,1094,Huna,895,B2,1,,,,,,1,1
397,0503.095b.002,Hullin 95b,חולין דף צה עמוד ב,,,,Hanina Hoza`a,135,Nahman,2285,B3,1,,,,,,1,1
398,0503.095b.003,Hullin 95b,חולין דף צה עמוד ב,,,,Natan b. Abbaye/Ami,2341,Hisda,1345,B3,1,,,,,,1,1
399,0503.097a.001,Hullin 97a,חולין דף צז עמוד א,,,,anon[ovda](multiple?),B0503-18+,Yohanan,1570,P2,1,,,,,,,?
400,0503.098a.001,Hullin 98a,חולין דף צח עמוד א,,Rabbi,,anon,B0503-19+,Gamaliel b. R,830,L,1,,,,,,,
401,0503.098a.002,Hullin 98a,חולין דף צח עמוד א,,Rabbi,,anon,B0503-20,Simeon b. Rabbi,2896,L,1,,,,,,,?
402,0503.098a.003,Hullin 98a,חולין דף צח עמוד א,,,,anon,B0503-21,Hiyya,1088,P1,1,,,,,,,?
403,0503.099b.001,Hullin 99b,חולין דף צט עמוד ב,,,Judah b. Zavina ,anon,B0503-22,Hanina,1213,P?,1,,,,,,,1
404,0503.105b.001,Hullin 105b,חולין דף קה עמוד ב,,,,Porters; [Demon],B0503-23; Demon,Ashi,571,B6,,,,,,1,,1
405,0503.110a.001,Hullin 110a,חולין דף קי עמוד א,,,,Rami b. Tamre/Diqule from Pumbedita,2689,Hisda,1345,B3,1,,,,,,1,1
406,0503.112b.001,Hullin 112b,חולין דף קיב עמוד ב,,,,Mari b. Rahel,2190,Rava,2582,B3,1,,,,,,1,1
407,0503.132b.001,Hullin 132b,חולין דף קלב עמוד ב,,,,Landlord[?] of Tabla,_1362,Nahman,2285,B3,1,,,1,,,1,1
408,0503.134b.001,Hullin 134b,חולין דף קלד עמוד ב,,,,Levi,2032,Landlord[?] of Tabla,2938,B3,1,,,,,,1,1
409,0503.141a.001,Hullin 141a,חולין דף קמא עמוד ב,,,,Judah,1394,Samuel ,2763,B1,,,,1,,,1,1
410,0504.003b.001,Bekhorot 3b,בכורות דף ג עמוד ב,,Judah (M),,Woman convert,0504_01,Rava,2582,B4,1,,,,,,,
411,0504.011a.001,Bekhorot 11a,בכורות דף יא עמוד א,,,,Yuda Nesi`ah,1518,Tarfon,1383,T,1,,,,,,1,
412,0504.036a.001,Bekhorot 36a,בכורות דף לו עמוד א,,,,Zadoq,2546,Joshua; Gamaliel,10100;829,T,1,,1,,,,1,
413,0504.036b.001,Bekhorot 36b,בכורות דף לו עמוד ב,,,,Priest,0503_02,Rafram,2690,B7,1,,,,,,1,
414,0504.036b.002,Bekhorot 36b,בכורות דף לו עמוד ב,,,,anon,0504_03,Ashi,571,B6,1,,,,,,,
415,0504.042b.001,Bekhorot 42b,בכורות דף מד עמוד ב,,,,Samuel,2578,Father of Samuel,106,B0?,,,,,,1,1,
416,0504.050b.001;0401.037a.001;,Bekhorot 50b; Bava Qamma 37a; ,בכורות דף נ עמוד ב,,,,Hanan Bisha; one injured,hanan_bisha; 0401_05,Huna,895,B2/P3,,,,1,,,?,1
417,0505.007b.001,Arakhin 7b,מכות דף ו עמוד ב,,,,foreign language speaker; foreign language speaker,loez_1; loez_2,Raba,2582,B4,,,,,,1,,
418,0505.023b.001,Arakhin 23b,ערכין דף כג עמוד ב,,,,husband; wife,B0505_husband_1;B0505_husband_2,Josepf b. Raba;Pappa,1781;2518,B5;B5,,,1,,1,,,1
419,0505.024a.001,Arakhin 24a,ערכין דף כד עמוד א,,,,[borrower?],B0505_Anon_1,Yemar,1804,B6,1,,,,,,,1
420,0505.029a.001,Arakhin 29a,ערכין דף כט עמוד א,,,,anon,B0505_Anon_2,Yehudah,1394,B3,,,,,1,,,1
421,0507.013b.001,Keritot 13b,כריתות דף יג עמוד ב,,,,Aha of Husal,305,Ashi,571,B6,,,,,1,,1,
422,0607.020b.001,Niddah 20b,נדה דף כ עמוד ב,,,Ammi,Woman,0607_01,Eleazar,467,P3,,1,,,,,,1
423,0607.020b.003,Niddah 20b,נדה דף כ עמוד ב,,,,Yalta,Yalta,Rabba b. b. Hana; Ishaq b Yehuda,2594;1913,B3; B3,,1,,,,,1,
424,0607.024a.001,Niddah 24a,נדה דף כד עמוד א,,,Hiyya,Women who had miscarried,0607_02,Sons of Hiyya,_1088+,P2,,1,,,,,,
425,0607.024a.002,Niddah 24a,נדה דף כד עמוד ב,,Rab; Samuel,Huna,woman having discharged a fetus with two spines,0607_16,Yirmiah b. Aba,1954,B2,,1,,,,,,
426,0607.025a.001,Niddah 25a,נדה דף כה עמוד א,,,,Woman having dischanged sac,0607_03,Samuel,2763,B1,,1,,,,,,
427,0607.025b.001,Niddah 25b,נדה דף כה עמוד ב,,,,Woman who had discharged a sac,0607_04,Samuel,2763,B1,,1,,,,,,
428,0607.025b.002,Niddah 25b,נדה דף כה עמוד ב,,,,Woman having given birth,0607_05,Samuel,2763,B1,,1,,,,,,1
429,0607.036b.001,Niddah 36b,נדה דף לו עמוד ב,,,Assi (Rab),Woman after childbirth,0607_06,Shela b. Abina,2725,B2,,1,,,,,,
430,0607.042b.001,Niddah 42b,נדה דף מב עמוד ב,,,,Father of new child,0607_07,Raba,2582,B4,1,,,,,,,1
431,0607.047b.001_,Niddah 47b_,נדה דף מז עמוד ב,,,,people,0607_08+,Hiyya,1088,P1,,,1,,,,,
432,0607.052a.001,Niddah 52a,נדה דף נב עמוד א,,,,Girl(s) seeking to renounce marriage,0607_09,``fellows`` of Kahana,2004_fellows,B?,,,1,,,,,
433,0607.052a.002,Niddah 52a,נדה דף נב עמוד א,,,Shemen; Yohanan; Judah Nesiah,Girl(s) seeking to renounce marriage,0607_10,Ishaq; disciples of Hanina,1213; _1885,P3,,,1,,,,,
434,0607.058a.001,Niddah 58a,נדה דף נח עמוד א,,,,Woman found blood on warp[mashtita?],0607_11,Yannai,1814,P1,,1,,,,,,
435,0607.066a.001,Niddah 66a,נדה דף סו עמוד א,,,Abdan,Woman bleeding during intercourse,0607_13,Rabbi,1508,T,,1,,,,,,
436,0607.066a.002,Niddah 66a,נדה דף סו עמוד א,,,Dimi bar Yosef,Woman bleeding during intercourse,0607_14,Samuel,2763,B1,,1,,,,,,
437,0607.066a.003,Niddah 66a,נדה דף סו עמוד א,,,,Woman who discharges blood after miqveh,0607_15,Yohanan,1570,P1,,,,,,,,
