index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
51,0301.080b.001,Yebamot 80b,יבמות דף פ עמוד ב,,,rabbi (by stam),Woman gave birth after twelve,0301_21,Rabbah Tosfa`ah,2639,B7,,,1,,,,,
52,0301.101b.001,Yebamot 101b,יבמות דף קא עמוד ב,,,,anon,0301_24,Pappa; Hunah b. Yehoshua,2518; 918,B5; B5,,,1,,,,?,
53,0301.104a.001,Yebamot 104a,יבמות דף קד עמוד א,,,Samuel,anon,0301_25,Rabbah b. Hiyya Qeṭosfa`a,2598,B2,,,1,,,,?,
54,0301.105a.001,Yebamot 105a,יבמות דף קה עמוד א,,,Abba b. Mamal,Levir; widow,0301_26;0301_27,Ami,495,P3? P4?,,,1,,,,,
55,0301.105b.001,Yebamot 105b,יבמות דף קה עמוד ב,,,Ishmael b. Yose (L); Abdan (P1),minor widow,0301_28,Judah Patriarch,1508,L,,,1,,,,,
56,0301.106a.001,Yebamot 106a,יבמות דף קו עמוד א,,,,Levir; widow,0301_29; 0301_30,Hiyya b. Abba,1091,P3,,,1,,,1,,
57,0301.106b.001,Yebamot 106b,יבמות דף קו עמוד א,,,Pappa,DIL of Pappa,_2518,Abbaye,121,B4,,,1,,,,1,
58,0301.110a.001,Yebamot 110a,יבמות דף קי עמוד א,,,Pappa; Ashi,bride,0301_31,Bruna; Hananel,787; 1339,Berona; Hananel,,,1,,,,,
59,0301.112a.001,Yebamot 112a,יבמות דף קיב עמוד א,,baraita,Sherabia,levir; widow,0301_32;0301_33,Rava,2582,B4,,,1,,,,,
60,0301.113b.001,Yebamot 113b,יבמות דף קיג עמוד ב,,,,Ishaq b. Bisana,1903,Pedat,2478,P4,1,,,,,,1,
61,0301.114b.001,Yebamot 114b,יבמות דף קיד עמוד ב,,,,Woman,0301_32,Rava,2582,B4,,,1,,,,,
62,0301.121b.001,Yebamot 121b,יבמות דף קכא עמוד ב,,,Ada b. Ahaba,Wife of missing husband,0301_34,Abbaye; Yoseph,121;1764,B4; B3,,,1,,,,,
63,0301.91b.001,Yebamot 91b,יבמות דף צא עמוד ב,,,Huna b. Yehoshua ,anon,0301_22,Pappa,2518,B5,,,1,,,,,
64,0301.97a.01;0403.155b.001; 0607.047b.001,Yebamot 97a.01; Bava Batra 155b; Niddah 47b,יבמות דף צז עמוד א,,,,anon,0301_23,Hiyya,1088,P1,,,1,,,,,
65,0301.97a.01;0403.155b.001; 0607.047b.001,Yebamot 97a.01; Bava Batra 155b; Niddah 47b,יבמות דף צז עמוד א,,,,anon,0301_23,Hiyya,1088,P1,,,1,,,,,
66,0302.010a.001,Ketubot 10a,כתובות דף י עמוד א,,,,anon[ket1],B0302_1,Nahman,2285,B3,,,,,,1,,
67,0302.010a.002,Ketubot 10a,כתובות דף י עמוד א,,,,anon[ket2],B0302_2,Gamaliel ,829,Y?,,,1,,,,,
68,0302.010a.003,Ketubot 10a,כתובות דף י עמוד א,,,,anon[Ket3],B0302_3,Gamaliel b. R,930,L,,,1,,,,,
69,0302.010b.001,Ketubot 10b,כתובות דף י עמוד ב,,,,anon[Ket4],B0302_5,Gamaliel b. R,930,L,,,1,,,,,
70,0302.010b.001,Ketubot 10b,כתובות דף י עמוד ב,,,,anon[Ket4],B0302_4,Gamaliel the Elder,828,E,,,1,,,,,
71,0302.010b.002,Ketubot 10b,כתובות דף י עמוד ב,,,,anon[Ket5],B0302_6,Rabbi,1508,L,,,1,,,,,
72,0302.013a.001,Ketubot 13a,כתובות דף יג עמוד ב,,[Gamaliel; Joshua],Abaye,anon[betrothed man and woman](2),B0302_2+,Yosef,1764,B3,,,1,,,,,?
73,0302.025b.001,Ketubot 25b,כתובות דף כה עמוד ב,,,,anon[Ket6 witness] anon[Ket7 priest],B0302_7; B0302_8,Ammi,495,P4,,,1,,,,,?
74,0302.025b.002,Ketubot 25b,כתובות דף כה עמוד ב,,,,anon[Ket8 witness] anon[Ket9 priest],B0302_9; B0302_10,Joshua b. Levi,1544,P1,,,1,,,,,?
75,0302.025b.003,Ketubot 25b,כתובות דף כה עמוד ב,,,Eleazar,anon[Ket10 witness]; anon[Ket11 priest],B0302_11; B0302_12,Resh Laqish,2879,P2,,,1,,,,,?
76,0302.027b.001,Ketubot 27b,כתובות דף כז עמוד ב,,,Abbaye responds,anon[Ket12],B0302_13,Rava,2582,B4,,,,1,,1,,1
77,0302.027b.002,Ketubot 27b,כתובות דף כח עמוד א,,Nahman,Ada b. Matena,anon[Ket-99; betrothed man]; anon[Ket-100; woman],B0302_14; B0302_15,Rava,2582,B4,,,1,1,,,,?
78,0302.027b.003,Ketubot 27b,כתובות דף כז עמוד ב,Dimi --> [Hanan Kartagenaa OR Joshua b. Levi],,,anon[Ket13],B0302_16,Joshua b. Levi OR Rabbi,1508,P1; L,,,1,,,1,,
79,0302.049b.001,Ketubot 49b,כתובות דף מט עמוד ב,,,,anon[Ket14] (plural),B0302_17+,Judah,1394,B2,,,1,1,,,,
80,0302.049b.002,Ketubot 49b,כתובות דף מט עמוד ב,,,,anon[Ket15] (plural),B0302_18+,Hisda,1345,B3,,,1,1,,,,
81,0302.049b.003,Ketubot 49b,כתובות דף מט עמוד ב,,,,anon[Ket16] (plural),B0302_19+,Rava,2582,B4,,,,,,,,
82,0302.050b.001,Ketubot 50b,כתובות דף נ עמוד ב,,,Nahman,anon[Ket17ovda],B0302_20,Judges of Nehardea,20347,?,,,1,1,,,,
83,0302.050b.002,Ketubot 50b,כתובות דף נ עמוד ב,,,Nahman,anon[Ket18ovda],B0302_21,Hana b. Bizana,21004,B3,,,1,1,,,,
84,0302.050b.004,Ketubot 50b,כתובות דף נ עמוד ב,,,,Orphans; Benai bro of Hiyya b. Abba,B0302_22; _2658,Samuel,2763,B1,,,1,1,,,1,
85,0302.050b.005,Ketubot 50b,כתובות דף נ עמוד ב,,,Abaye,anon[Ket19] (and orphans),B0302_23+,Yosef,1764,B3,,,1,1,,,,
86,0302.051a.001,Ketubot 51a,כתובות דף נא עמוד א,,,Sages,anon[Ket20-orphan]; anon[Ket21-orphan],B0302_24; B0302_25,Rava,2582,B4,,,1,1,,,,?
87,0302.052a.001,Ketubot 52a,כתובות דף נב עמוד א,,,,[anon-widow; anon-heirs],B0302_26; B0302_27,Levi,2032,B3,,,1,1,,,,
88,0302.052b.001,Ketubot 52b,כתובות דף נב עמוד ב,,,,Relations of Yohanan,_1570,Yohanan,1570,P2,,,1,1,,,1,1
89,0302.054a.001,Ketubot 54a,כתובות דף נד עמוד א,,,Rav; Samuel ,anon[Ket21-widow],B0302_28,Nahman,2285,B3,,,1,1,,,,1
90,0302.054a.002,Ketubot 54a,כתובות דף נד עמוד א,,,,House of Eliashib; daughter in law of house,house of Eliashib; daugher in law of house of Eliashib.,Ravina,2647,B6/7?,,,1,1,,,?,1
91,0302.054a.003,Ketubot 54a,כתובות דף נד עמוד א,,,,Deceased; wife; her heirs,B0302_29; B0302_30; B0302_31,Idi b. Avin,343,B4,,,1,1,,,,?
92,0302.054b.001,Ketubot 54b,כתובות דף נד עמוד ב,,,,Relations of Yohanan,_1570,Yohanan; Resh Laqish,1570; 2879,P2,,,1,1,,,1,
93,0302.057a.001,Ketubot 57a,כתובות דף נז עמוד א,,Nahman -->  Samuel ,Abaye,Sister of Rami b. Hamma; Avya,_2681; 229,Yosef,1764,B3,,,1,1,,,1,1
94,0302.060b.001,Ketubot 60b,כתובות דף ס עמוד ב,,Meir; Judah; BH; BS; [Ula,Yosef,Tenant of Abaye,_121,Abbaye,121,B4,,,1,,,,1,?
95,0302.060b.002,Ketubot 60b,כתובות דף ס עמוד ב,,Nahman,Pappi,anon[Ket23],B0302_33,Pappa; Huna b. Joshua,2518; 918,B5,,,1,,,,,
96,0302.060b.003,Ketubot 60b,כתובות דף ס עמוד ב,,,be resh galuta,anon[Ket24_old woman],B0302_34,Nahman,2285,B3,,,1,,,,,1
97,0302.063b.001,Ketubot 63b,כתובות דף סג עמוד ב,,,Hanina of Sura,anon[Ket27],B0302_35,Mar Zutra,2161,B6,,,1,,,,,
