Source,Target,Type,Id,sortable,partyname,judgename,judgegen_composite,judgegen,judgegeog,rabb. actor
Rabi_b_tamre,1017,Directed,1771,0507.029b.002,Rami b. Tamri FIL of Rami b. Diqule,Zera,P3,3,P,Y
1088,1508,Directed,1597,0503.085b.001,Hiyya[P1],Rabbi,T,0,P,Y
akbara_deyativ_adinare,1088,Directed,1823,0404.029b.003,"""Akbera deyatib adinare""",Hiyya,P1,1,P,X
B0404_10x,1088,Directed,1819,0404.05a.002,anonx,Hiyya,P1,1,P,Y
2600,1088,Directed,1818,0404.05a.002,Rabbah bar Hanah,Hiyya,P1,1,P,Y
_1088,1088,Directed,1635,0301.065b.005,Judith wife of Hiyya--disguised,Hiyya,P1,1,P,Y
B0503-21,1088,Directed,1604,0503.098a.003,anon,Hiyya,P1,1,P,N
2578,1088,Directed,1406,0402.044b.001,Rab[B1],Hiyya,P1,1,P,Y
2711,1088,Directed,1385,0402.017a.001,Shabetai b. R. Marinus,Hiyya,P1,1,P,Y
B0403_57,1088,Directed,1358,0403.155b.001_,[Saris],Hiyya,P1,1,P,N
0301_23,1088,Directed,1352,0301.97a.01;0403.155b.001; 0607.047b.001,Anon,Hiyya,P1,1,P,N
B0403_54+,1088,Directed,1291,0403.041b.001,Anonymous(2),Hiyya,P1,1,P,N
1090,2627,Directed,1752,0302.104b.001,Hiyya Arikha[x],Rabbah b. Shela,B3,3,B,Y
0301_30,1091,Directed,1648,0301.106a.001,widow,Hiyya b. Abba,P3,3,P,N
0301_29,1091,Directed,1647,0301.106a.001,Levir,Hiyya b. Abba,P3,3,P,N
2448,1102,Directed,1811,0206.011a.001,Amram Hasida,Hiyya b. Ashi,B2,2,B,Y
1113,1570,Directed,1407,0402.048b.001,Hiyya b. Yosef,Yohanan,P2,2,P,Y
1113,22004,Directed,1376,0403.171b.001,Isaac b. Yosef[B4],Hanina b. Pappi,P3,3,P,Y
1113,1885,Directed,1374,0403.170a.001,Isaac b. Yosef[B4],Ishaq Napaha,P3,3,P,Y
sorba_derabbanan_03,1164,Directed,1879,0406.048b.001,tsorba de-rabbanan,Hamma,B5,5,B,Y
0607_10,1213,Directed,1785,0607.52a.001,Girl(s) seeking to renounce marriage,Ishaq,P3,3,P,N
B0302_65,1213,Directed,1755,0302.111a.001,Anon[Ket44_levir],Haninah,P1,1,P,N
B0203_02,1213,Directed,1660,0205.082b.003,anon pregnant woman,Hanina,Px,X,P,N
B0503-22,1213,Directed,1605,0503.099b.001,anon,Haninah,Px,X,P,N
B0403_105,1213,Directed,1331,0403.126b.003,another who is a firstborn,Haninah,Px,X,P,N
B0403_104,1213,Directed,1330,0403.126b.003,"Anon[BB, attests that one is firstborn]",Haninah,Px,X,P,N
1287,1345,Directed,1766,0211.020a.001,Hanina [Hozaah; Mss],Hisda,B3,3,B,Y
0301_31,1339,Directed,1651,0301.110a.001,bride,Hananel,B2,2,B,N
0307_12,1345,Directed,1854,0307.050a.001,anon husband; anon wife,Hisda,B3,3,B,N
0307_11,1345,Directed,1853,0307.050a.001,anon husband; anon wife,Hisda,B3,3,B,N
B0303_student,1345,Directed,1810,0303.090a.001,student,Hisda,B3,3,B,Y
_1954,1345,Directed,1791,0303.007b.001,One banned by  Yirmiah b. Abba,Hisda,B3,3,B,Y
B0302_18+,1345,Directed,1679,0302.049b.002,Anon[Ket15] (plural),Hisda,B3,3,B,N
2689,1345,Directed,1608,0503.110a.001,Rami b. Tamre/Diqule[B3] from Pumbedita,Hisda,B3,3,B,Y
2341,1345,Directed,1600,0503.095b.003,Natan b. Abbaye/Ami[B5x],Hisda,B3,3,B,Y
B0402_14,1345,Directed,1415,0402.051a.003,Anon[BM-15],Hisda,B3,3,B,N
B0402_15,1345,Directed,1412,0402.049b.002,anonymus(*),Hisda,B3,3,B,N
_2178,1345,Directed,1404,0402.039b.001,brother,Hisda,B3,3,B,Y
2178,1345,Directed,1403,0402.039b.001,Mari b. Isaq,Hisda,B3,3,B,Y
B0402_99,1345,Directed,1381,0402.007a.001,anon[BM-99],Hisda,B3,3,B,N
B0402_1,1345,Directed,1380,0402.007a.001,Anon[BM-1],Hisda,B3,3,B,N
B0403_53+,1345,Directed,1292,0403.051a.001,anonymous[Husband and wifex],Hisda,B3,3,B,N
1364,1764,Directed,1496,0207.012b.001,Tobi bar Nehemiah [= b. Matenax],Joseph[b.Hiyya],B3,3,B,Y
1364,2285,Directed,1345,0403.151a.005,Ahadvoi b. Mattena[B3],Nahman,B3,3,B,Y
B0503-03,1364,Directed,1571,0503.039b.001,anon(slaughterers),Tobi b. Matena,B3,3,B,X
Arabs,1364,Directed,1570,0503.039b.001,Arabs,Tobi b. Matena,B3,3,B,X
1508,1383,Directed,1502,0504.011a.001,Yuda Nesi'ah,Tarfon,T,0,P,Y
0306_10,1388,Directed,1531,0306.033a.001,[wife],Yoshia de-min Usha,P2,2,P,N
0306_09,1388,Directed,1530,0306.033a.001,husband,Yoshia de-min Usha,P2,2,P,N
1394,2285,Directed,1862,0307.070a.001,Judah,Nahman,B3,3,B,N
1394,2763,Directed,1612,0503.141a.001,Judah[B2],Samuel,B1,1,B,Y
B0505_Anon_2,1394,Directed,1840,0505.029a.001,anon,Judah,B3,3,B,N
0202_03,1394,Directed,1832,0202.012a.001,anon,Judah b. Yehezqel,B3,3,B,N
0202_02,1394,Directed,1830,0202.007b.001,anon,Judah b. Yehezqel,B3,3,B,N
0303_13,1394,Directed,1806,0303.050b.001,Anon woman,Judah b. Yehezqel,B2,2,B,X
B0302_40,1394,Directed,1714,0302.080a.001,Anon[Ket29],Judah b. Yehezqel,B2,2,B,N
B0302_17+,1394,Directed,1678,0302.049b.001,Anon[Ket14] (plural),Judah b. Yehezqel,B2,2,B,N
0301_05,1394,Directed,1618,0301.045a.002,Child of gentile man,Judah b. Yehezqel,B2,2,B,N
B0402_5,1394,Directed,1389,0402.024b.001,Anon[BM-6],Judah b. Yehezqel,B2,2,B,N
B0403_36,1394,Directed,1311,0403.082b.002,anon[BB-36],Judah b. Yehezqel,B2,2,B,N
B0403_109,1394,Directed,1300,0403.054b.001,"Anon[BB, an Israelite who plowed in field]",Judah b. Yehezqel,B2,2,B,N
B0403_108,1394,Directed,1299,0403.054b.001,"Anon[BB, one who bought from gentile]",Judah b. Yehezqel,B2,2,B,N
B0403_20+,1394,Directed,1290,0403.041a.002,anon[BB-20; witnesses],Judah b. Yehezqel,B2,2,B,N
B0403_19,1394,Directed,1289,0403.041a.002,anon[BB-19; neighbor],Judah b. Yehezqel,B2,2,B,N
2004,1394,Directed,1288,0403.041a.002,Kahana[B3; B4],Judah b. Yehezqel,B2,2,B,N
1464,2198,Directed,1512,0101.045b.001,Yehuda bar Maremar,Maremar,B6,6,B,Y
0303_11,1508,Directed,1808,0303.50b.002,Anon,Rabbi,L,X,P,N
0303_10,1508,Directed,1807,0303.50b.002,Anon,Rabbi,L,X,P,N
0303_01,1508,Directed,1793,0303.020b.001,Anon,Rabbi,L,X,P,N
0607_13,1508,Directed,1788,0607.066a.001,Woman bleeding during intercourse,Rabbi,T,X,P,N
sorba_derabbanan_02,1508,Directed,1764,0211.017a.001,rabbinic disciple,Yudah Nesiah,Px,X,P,Y
